0,1,2,3,4,5,6
2021.07.10 01:13,云南,怒江州,0,0,0,0
2021.07.10 01:13,云南,境外输入,182,9,104,0
2021.07.10 01:13,广西,桂林,32,0,32,0
2021.07.10 01:13,广西,河池,28,0,27,1
2021.07.10 01:13,广西,南宁,56,0,56,0
2021.07.10 01:13,广西,防城港,19,0,19,0
2021.07.10 01:13,广西,贺州,4,0,4,0
2021.07.10 01:13,广西,柳州,24,0,24,0
2021.07.10 01:13,广西,玉林,11,0,11,0
2021.07.10 01:13,广西,北海,44,0,43,1
2021.07.10 01:13,广西,钦州,8,0,8,0
2021.07.10 01:13,广西,梧州,5,0,5,0
2021.07.10 01:13,广西,百色,3,0,3,0
2021.07.10 01:13,广西,贵港,8,0,8,0
2021.07.10 01:13,广西,来宾,11,0,11,0
2021.07.10 01:13,广西,境外输入,23,0,22,0
2021.07.10 01:13,福建,厦门,35,0,35,0
2021.07.10 01:13,福建,南平,20,0,20,0
2021.07.10 01:13,福建,莆田,56,0,56,0
2021.07.10 01:13,福建,泉州,47,0,47,0
2021.07.10 01:13,福建,漳州,20,0,20,0
2021.07.10 01:13,福建,三明,14,0,14,0
2021.07.10 01:13,福建,宁德,26,0,26,0
2021.07.10 01:13,福建,龙岩,6,0,6,0
2021.07.10 01:13,福建,福州,72,0,71,1
2021.07.10 01:13,福建,境外输入,396,0,349,0
2021.07.10 01:13,上海,嘉定区,9,0,7,2
2021.07.10 01:13,上海,外地来沪人员,113,0,112,1
2021.07.10 01:13,上海,松江区,14,0,14,0
2021.07.10 01:13,上海,黄浦区,22,0,22,0
2021.07.10 01:13,上海,长宁区,14,0,14,0
2021.07.10 01:13,上海,青浦区,6,0,6,0
2021.07.10 01:13,上海,闵行区,19,0,19,0
2021.07.10 01:13,上海,静安区,16,0,15,1
2021.07.10 01:13,上海,虹口区,7,0,7,0
2021.07.10 01:13,上海,宝山区,26,0,25,1
2021.07.10 01:13,上海,浦东新区,69,0,68,1
2021.07.10 01:13,上海,杨浦区,9,0,9,0
2021.07.10 01:13,上海,徐汇区,18,0,17,1
2021.07.10 01:13,上海,奉贤区,9,0,9,0
2021.07.10 01:13,上海,金山区,4,0,4,0
2021.07.10 01:13,上海,普陀区,11,0,11,0
2021.07.10 01:13,上海,崇明区,4,0,4,0
2021.07.10 01:13,上海,境外输入,1866,3,1804,0
2021.07.10 01:13,上海,境外来沪人员,1,0,1,0
2021.07.10 01:13,北京,东城区,19,0,6,
2021.07.10 01:13,北京,海淀区,82,0,18,
2021.07.10 01:13,北京,大兴区,134,0,111,
2021.07.10 01:13,北京,朝阳区,80,0,5,
2021.07.10 01:13,北京,丰台区,273,0,233,
2021.07.10 01:13,北京,门头沟区,5,0,4,
2021.07.10 01:13,北京,通州区,20,0,2,
2021.07.10 01:13,北京,顺义区,45,0,45,
2021.07.10 01:13,北京,石景山区,15,0,12,
2021.07.10 01:13,北京,西城区,59,0,6,
2021.07.10 01:13,北京,怀柔区,8,0,4,
2021.07.10 01:13,北京,昌平区,33,0,14,
2021.07.10 01:13,北京,外地来京人员,25,0,2,
2021.07.10 01:13,北京,房山区,20,0,7,
2021.07.10 01:13,北京,延庆区,1,0,0,
2021.07.10 01:13,北京,密云区,7,0,0,
2021.07.10 01:13,北京,待确认,2,0,350,9
2021.07.10 01:13,北京,境外输入,250,0,242,
2021.07.10 01:13,江苏,徐州,79,0,79,0
2021.07.10 01:13,江苏,扬州,23,0,23,0
2021.07.10 01:13,江苏,宿迁,13,0,13,0
2021.07.10 01:13,江苏,镇江,12,0,12,0
2021.07.10 01:13,江苏,连云港,48,0,48,0
2021.07.10 01:13,江苏,无锡,55,0,55,0
2021.07.10 01:13,江苏,泰州,37,0,37,0
2021.07.10 01:13,江苏,盐城,27,0,27,0
2021.07.10 01:13,江苏,淮安,66,0,66,0
2021.07.10 01:13,江苏,南通,40,0,40,0
2021.07.10 01:13,江苏,南京,93,0,93,0
2021.07.10 01:13,江苏,常州,51,0,51,0
2021.07.10 01:13,江苏,苏州,87,0,87,0
2021.07.10 01:13,江苏,境外输入,113,0,103,0
2021.07.10 01:13,四川,遂宁,17,0,17,0
2021.07.10 01:13,四川,达州,42,0,42,0
2021.07.10 01:13,四川,内江,22,0,22,0
2021.07.10 01:13,四川,广安,30,0,30,0
2021.07.10 01:13,四川,宜宾,12,0,12,0
2021.07.10 01:13,四川,凉山州,13,0,13,0
2021.07.10 01:13,四川,乐山,3,0,3,0
2021.07.10 01:13,四川,眉山,8,0,8,0
2021.07.10 01:13,四川,德阳,18,0,18,0
2021.07.10 01:13,四川,巴中,24,0,24,0
2021.07.10 01:13,四川,成都,158,0,155,3
2021.07.10 01:13,四川,南充,39,0,39,0
2021.07.10 01:13,四川,泸州,24,0,24,0
2021.07.10 01:13,四川,绵阳,22,0,22,0
2021.07.10 01:13,四川,甘孜州,78,0,78,0
2021.07.10 01:13,四川,广元,6,0,6,0
2021.07.10 01:13,四川,资阳,4,0,4,0
2021.07.10 01:13,四川,自贡,9,0,9,0
2021.07.10 01:13,四川,雅安,8,0,8,0
2021.07.10 01:13,四川,攀枝花,16,0,16,0
2021.07.10 01:13,四川,阿坝州,1,0,1,0
2021.07.10 01:13,四川,境外输入,557,0,519,0
2021.07.10 01:13,山东,威海,38,0,37,1
2021.07.10 01:13,山东,泰安,35,0,33,2
2021.07.10 01:13,山东,济南,47,0,47,0
2021.07.10 01:13,山东,枣庄,24,0,24,0
2021.07.10 01:13,山东,济宁,260,0,260,0
2021.07.10 01:13,山东,临沂,49,0,49,0
2021.07.10 01:13,山东,青岛,80,0,79,1
2021.07.10 01:13,山东,日照,16,0,16,0
2021.07.10 01:13,山东,菏泽,18,0,18,0
2021.07.10 01:13,山东,聊城,38,0,38,0
2021.07.10 01:13,山东,滨州,15,0,15,0
2021.07.10 01:13,山东,潍坊,44,0,44,0
2021.07.10 01:13,山东,德州,37,0,35,2
2021.07.10 01:13,山东,烟台,47,0,47,0
2021.07.10 01:13,山东,淄博,30,0,29,1
2021.07.10 01:13,山东,境外输入,105,0,105,0
2021.07.10 01:13,江西,吉安,22,0,22,0
2021.07.10 01:13,江西,上饶,123,0,123,0
2021.07.10 01:13,江西,九江,116,0,116,0
2021.07.10 01:13,江西,新余,129,0,129,0
2021.07.10 01:13,江西,抚州,72,0,72,0
2021.07.10 01:13,江西,鹰潭,18,0,18,0
2021.07.10 01:13,江西,宜春,106,0,106,0
2021.07.10 01:13,江西,景德镇,6,0,6,0
2021.07.10 01:13,江西,萍乡,33,0,33,0
2021.07.10 01:13,江西,赣州,74,0,73,1
2021.07.10 01:13,江西,南昌,231,0,231,0
2021.07.10 01:13,江西,赣江新区,1,0,1,0
2021.07.10 01:13,江西,境外输入,6,0,6,0
2021.07.10 01:13,重庆,奉节县,22,0,22,0
2021.07.10 01:13,重庆,武隆区,1,0,1,0
2021.07.10 01:13,重庆,永川区,5,0,5,0
2021.07.10 01:13,重庆,两江新区,17,0,17,0
2021.07.10 01:13,重庆,渝北区,17,0,17,0
2021.07.10 01:13,重庆,开州区,21,0,20,1
2021.07.10 01:13,重庆,丰都县,10,0,10,0
2021.07.10 01:13,重庆,巫山县,10,0,10,0
2021.07.10 01:13,重庆,大足区,14,0,14,0
2021.07.10 01:13,重庆,忠县,21,0,21,0
2021.07.10 01:13,重庆,云阳县,25,0,25,0
2021.07.10 01:13,重庆,璧山区,9,0,9,0
2021.07.10 01:13,重庆,九龙坡区,21,0,20,1
2021.07.10 01:13,重庆,潼南区,18,0,18,0
2021.07.10 01:13,重庆,大渡口区,7,0,7,0
2021.07.10 01:13,重庆,梁平区,4,0,4,0
2021.07.10 01:13,重庆,秀山县,1,0,1,0
2021.07.10 01:13,重庆,万州区,118,0,114,4
2021.07.10 01:13,重庆,南岸区,15,0,15,0
2021.07.10 01:13,重庆,石柱县,15,0,15,0
2021.07.10 01:13,重庆,涪陵区,5,0,5,0
2021.07.10 01:13,重庆,江北区,28,0,28,0
2021.07.10 01:13,重庆,綦江区,23,0,23,0
2021.07.10 01:13,重庆,巫溪县,14,0,14,0
2021.07.10 01:13,重庆,长寿区,22,0,22,0
2021.07.10 01:13,重庆,城口县,2,0,2,0
2021.07.10 01:13,重庆,合川区,23,0,23,0
2021.07.10 01:13,重庆,垫江县,20,0,20,0
2021.07.10 01:13,重庆,江津区,4,0,4,0
2021.07.10 01:13,重庆,黔江区,2,0,2,0
2021.07.10 01:13,重庆,渝中区,20,0,20,0
2021.07.10 01:13,重庆,巴南区,6,0,6,0
2021.07.10 01:13,重庆,铜梁区,10,0,10,0
2021.07.10 01:13,重庆,荣昌区,9,0,9,0
2021.07.10 01:13,重庆,沙坪坝区,9,0,9,0
2021.07.10 01:13,重庆,高新区,4,0,4,0
2021.07.10 01:13,重庆,彭水县,2,0,2,0
2021.07.10 01:13,重庆,酉阳县,1,0,1,0
2021.07.10 01:13,重庆,万盛经开区,1,0,1,0
2021.07.10 01:13,重庆,境外输入,25,0,21,0
2021.07.10 01:13,安徽,安庆,83,0,83,0
2021.07.10 01:13,安徽,芜湖,34,0,34,0
2021.07.10 01:13,安徽,亳州,108,0,108,0
2021.07.10 01:13,安徽,黄山,9,0,9,0
2021.07.10 01:13,安徽,淮北,27,0,27,0
2021.07.10 01:13,安徽,蚌埠,160,0,155,5
2021.07.10 01:13,安徽,马鞍山,38,0,38,0
2021.07.10 01:13,安徽,铜陵,29,0,29,0
2021.07.10 01:13,安徽,池州,17,0,17,0
2021.07.10 01:13,安徽,宿州,41,0,41,0
2021.07.10 01:13,安徽,合肥,176,0,175,1
2021.07.10 01:13,安徽,宣城,6,0,6,0
2021.07.10 01:13,安徽,滁州,13,0,13,0
2021.07.10 01:13,安徽,阜阳,156,0,156,0
2021.07.10 01:13,安徽,淮南,27,0,27,0
2021.07.10 01:13,安徽,六安,77,0,77,0
2021.07.10 01:13,安徽,境外输入,7,0,3,0
2021.07.10 01:13,湖南,衡阳,48,0,48,0
2021.07.10 01:13,湖南,娄底,76,0,76,0
2021.07.10 01:13,湖南,湘潭,36,0,36,0
2021.07.10 01:13,湖南,永州,44,0,44,0
2021.07.10 01:13,湖南,常德,82,0,82,0
2021.07.10 01:13,湖南,张家界,5,0,5,0
2021.07.10 01:13,湖南,岳阳,156,0,155,1
2021.07.10 01:13,湖南,株洲,80,0,80,0
2021.07.10 01:13,湖南,长沙,242,0,240,2
2021.07.10 01:13,湖南,邵阳,102,0,101,1
2021.07.10 01:13,湖南,湘西州,8,0,8,0
2021.07.10 01:13,湖南,郴州,39,0,39,0
2021.07.10 01:13,湖南,怀化,40,0,40,0
2021.07.10 01:13,湖南,益阳,60,0,60,0
2021.07.10 01:13,湖南,境外输入,43,0,33,0
2021.07.10 01:13,河南,安阳,53,0,53,0
2021.07.10 01:13,河南,信阳,274,0,272,2
2021.07.10 01:13,河南,周口,76,0,75,1
2021.07.10 01:13,河南,开封,26,0,26,0
2021.07.10 01:13,河南,许昌,39,0,38,1
2021.07.10 01:13,河南,濮阳,17,0,17,0
2021.07.10 01:13,河南,漯河,36,0,36,0
2021.07.10 01:13,河南,郑州,157,0,152,5
2021.07.10 01:13,河南,三门峡,7,0,6,1
2021.07.10 01:13,河南,驻马店,139,0,139,0
2021.07.10 01:13,河南,南阳,156,0,153,3
2021.07.10 01:13,河南,鹤壁,19,0,19,0
2021.07.10 01:13,河南,商丘,91,0,88,3
2021.07.10 01:13,河南,洛阳,31,0,30,1
2021.07.10 01:13,河南,新乡,57,0,54,3
2021.07.10 01:13,河南,焦作,32,0,31,1
2021.07.10 01:13,河南,平顶山,58,0,57,1
2021.07.10 01:13,河南,济源,5,0,5,0
2021.07.10 01:13,河南,境外输入,47,0,40,0
2021.07.10 01:13,广东,肇庆,19,0,18,1
2021.07.10 01:13,广东,珠海,98,0,97,1
2021.07.10 01:13,广东,河源,5,0,5,0
2021.07.10 01:13,广东,佛山,101,0,96,0
2021.07.10 01:13,广东,清远,12,0,12,0
2021.07.10 01:13,广东,汕尾,6,0,6,0
2021.07.10 01:13,广东,茂名,14,0,14,0
2021.07.10 01:13,广东,阳江,14,0,14,0
2021.07.10 01:13,广东,湛江,23,0,23,0
2021.07.10 01:13,广东,中山,67,0,67,0
2021.07.10 01:13,广东,惠州,62,0,62,0
2021.07.10 01:13,广东,揭阳,10,0,10,0
2021.07.10 01:13,广东,梅州,16,0,16,0
2021.07.10 01:13,广东,深圳,431,0,424,3
2021.07.10 01:13,广东,汕头,25,0,25,0
2021.07.10 01:13,广东,江门,23,0,23,0
2021.07.10 01:13,广东,韶关,10,0,9,1
2021.07.10 01:13,广东,东莞,102,0,98,1
2021.07.10 01:13,广东,广州,523,0,522,1
2021.07.10 01:13,广东,潮州,5,0,5,0
2021.07.10 01:13,广东,境外输入,1203,3,1074,0
2021.07.10 01:13,广东,待确认,,0,66,
2021.07.10 01:13,浙江,台州,147,0,147,0
2021.07.10 01:13,浙江,嘉兴,46,0,46,0
2021.07.10 01:13,浙江,湖州,10,0,10,0
2021.07.10 01:13,浙江,舟山,10,0,10,0
2021.07.10 01:13,浙江,绍兴,42,0,42,0
2021.07.10 01:13,浙江,宁波,157,0,157,0
2021.07.10 01:13,浙江,杭州,181,0,181,0
2021.07.10 01:13,浙江,金华,55,0,55,0
2021.07.10 01:13,浙江,丽水,17,0,17,0
2021.07.10 01:13,浙江,温州,504,0,503,1
2021.07.10 01:13,浙江,衢州,14,0,14,0
2021.07.10 01:13,浙江,省十里丰监狱,36,0,36,0
2021.07.10 01:13,浙江,境外输入,167,0,116,0
2021.07.10 01:13,湖北,仙桃,575,0,553,22
2021.07.10 01:13,湖北,天门,496,0,481,15
2021.07.10 01:13,湖北,随州,1307,0,1262,45
2021.07.10 01:13,湖北,咸宁,836,0,821,15
2021.07.10 01:13,湖北,十堰,672,0,664,8
2021.07.10 01:13,湖北,恩施,252,0,245,7
2021.07.10 01:13,湖北,襄阳,1175,0,1135,40
2021.07.10 01:13,湖北,荆州,1580,0,1528,52
2021.07.10 01:13,湖北,神农架林区,11,0,11,0
2021.07.10 01:13,湖北,宜昌,931,0,894,37
2021.07.10 01:13,湖北,潜江,198,0,189,9
2021.07.10 01:13,湖北,武汉,50340,0,46471,3869
2021.07.10 01:13,湖北,黄冈,2907,0,2782,125
2021.07.10 01:13,湖北,孝感,3518,0,3389,129
2021.07.10 01:13,湖北,黄石,1015,0,976,39
2021.07.10 01:13,湖北,荆门,928,0,887,41
2021.07.10 01:13,湖北,鄂州,1394,0,1335,59
2021.07.10 01:13,湖北,境外输入,52,0,25,0
